score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★☆☆☆,2,Stagiaire call center chargé de promouvoir les produits digitaux - Ecobank Côte d'Ivoire,Selego,Relation Client & Support,Relation Client & BPO,Stage,"Marcory, Abidjan, Côte d'Ivoire",Full-time,2026-07-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/stagiaire-call-center-charg%C3%A9-de-promouvoir-les-produits-digitaux-ecobank-c%C3%B4te-d-ivoire-at-selego-4442143494?position=59&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=vM%2FMABuTASafleJqQudXqg%3D%3D,Entry level,IT Services and IT Consulting,2026-07-18,2026-07-18,archive,retirée de la source
★★★☆☆,3,Site Supervisor - Houtbay,TSU Protection Services,Opérations & Supervision,Autres / Généraliste,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-06-20,,,LinkedIn,https://ci.linkedin.com/jobs/view/site-supervisor-houtbay-at-tsu-protection-services-4440233641?position=56&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=Wjtapg0xyB8iXhBY5fKjtQ%3D%3D,Not Applicable,Security and Investigations,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Responsable projets construction,GPC SA,BTP & Construction,BTP & Construction,Manager/Direction,"Abidjan, Côte d'Ivoire",Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-projets-construction-at-gpc-sa-4428241187?position=60&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=WS1f7WjF%2BShI9Of98vKpVw%3D%3D,Director,Construction,2026-06-19,2026-07-18,archive,retirée de la source
★★☆☆☆,2,Research Assistant: Intern,The Aurum Institute,Administration & Assistanat,Administration,Stage,"Za, Sassandra-Marahoué, Côte d'Ivoire",Contract,2026-07-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/research-assistant-intern-at-the-aurum-institute-4438544978?position=12&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=EQALyb4tHsm9TlQD9eNVLw%3D%3D,Not Applicable,Hospitals and Health Care,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,RESPONSABLE TECHNIQUE,AERODEFI SYSTEMS,Autres métiers,Autres / Généraliste,Senior,"Cocody, Abidjan, Côte d'Ivoire",Full-time,2026-06-25,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-technique-at-aerodefi-systems-4432171776?position=32&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=6AG8C0y9lyjXpEhX6GI5XA%3D%3D,Not Applicable,Motor Vehicle Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
★★★☆☆,3,Millwright,AFGRI,Autres métiers,BTP & Construction,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-07-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/millwright-at-afgri-4436917333?position=29&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=1aejKcszmPu%2F%2F%2F4XBeLVNg%3D%3D,Not Applicable,"Agriculture, Construction, Mining Machinery Manufacturing",2026-07-06,2026-07-18,archive,retirée de la source
★★★☆☆,3,Mechanic General X4 Global Grade 08,Barloworld Equipment,Autres métiers,Autres / Généraliste,Confirmé,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/mechanic-general-x4-global-grade-08-at-barloworld-equipment-4439068184?position=10&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=Y6fdsTevs0YVjclnptTLAg%3D%3D,Not Applicable,Machinery Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Health Safety Environment Officer,Capital Limited,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Confirmé,"Hiré, Gôh-Djiboua, Côte d'Ivoire",Full-time,2026-06-18,,,LinkedIn,https://ci.linkedin.com/jobs/view/health-safety-environment-officer-at-capital-limited-4427863292?position=9&pageNum=2&refId=uEJpDEMHy4NChPtxK1DSCA%3D%3D&trackingId=Q%2B8zVQeMPkJfxuuN9Lcp%2FQ%3D%3D,Associate,Mining,2026-06-19,2026-07-18,archive,retirée de la source
★★★★★,5,Country People Talent Manager,,Ressources Humaines,ONG & Projets,Senior,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/administration-ong-services/4041-country-people-talent-manager.html,,Administration/ONG/Services publiques,2026-06-19,2026-07-18,archive,retirée de la source
★★☆☆☆,2,Contract Commercial Manager,Huawei,Commercial & Vente,Commerce & Vente,Junior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/contract-commercial-manager-at-huawei-4439315169?position=54&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=TlPG2hYVR4S8jJM%2F3x91Tg%3D%3D,Entry level,"Law Practice, Law Enforcement, and Business Consulting and Services",2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Comptable Clien,,Comptabilité,Finance & Banque,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4038-comptable-client.html,,Industrie/production/Mat 1eres,2026-06-19,2026-07-18,archive,retirée de la source
★★★★★,5,CHEF D'ATELIER MAINTENANCE CONDITIONNEMENT,Solibra CI,Production & Industrie,Ingénierie & Industrie,Senior,Côte d'Ivoire,Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/chef-d-atelier-maintenance-conditionnement-at-solibra-ci-4430031085?position=44&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=1rIDg3YMy6bSvaA3FdG1Wg%3D%3D,Not Applicable,Beverage Manufacturing,2026-06-22,2026-07-18,archive,retirée de la source
★★★☆☆,3,Attaché Commercial (H/F),PRECIA MOLEN,Commercial & Vente,Commerce & Vente,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-07-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/attach%C3%A9-commercial-h-f-at-precia-molen-4442109644?position=43&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=4FV7wtBdBDLN43nYxoGgXQ%3D%3D,Not Applicable,Machinery Manufacturing,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,Administrateur Systemes Unix,,"DevOps, Infra & Réseau",Tech & Digital,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/ntic/4040-administrateur-systemes-unix.html,,NTIC,2026-06-19,2026-07-18,archive,retirée de la source
★★★★☆,4,ADMINISTRATEUR SYSTEMES ET RESEAUX,RED TIC,"DevOps, Infra & Réseau",Tech & Digital,Confirmé,"Abidjan, Côte d'Ivoire",Volunteer,2026-07-15,,,LinkedIn,https://ci.linkedin.com/jobs/view/administrateur-systemes-et-reseaux-at-red-tic-4440981513?position=57&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=lztLBmKTD2rPrzOrHf97cw%3D%3D,Not Applicable,IT Services and IT Consulting,2026-07-18,2026-07-18,archive,retirée de la source
★★★★☆,4,01 Assistant(e) élevage et production vivrière,Abidjan Legacy Program,Production & Industrie,Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-07-15,,,LinkedIn,https://ci.linkedin.com/jobs/view/01-assistant-e-%C3%A9levage-et-production-vivri%C3%A8re-at-abidjan-legacy-program-4441279168?position=48&pageNum=0&refId=zlmU02LRL774VRj%2FUKsNRQ%3D%3D&trackingId=up0wBub%2B1ukAjBfBMGsltw%3D%3D,Not Applicable,Non-profit Organizations,2026-07-18,2026-07-18,archive,retirée de la source
★★☆☆☆,2,健康安全环境管理体系专员,TWYFORD INTERNATIONAL (Côte d'Ivoire),Autres métiers,BTP & Construction,Junior,"Alépé, Lagunes, Côte d'Ivoire",Full-time,2026-06-26,,,LinkedIn,https://ci.linkedin.com/jobs/view/%E5%81%A5%E5%BA%B7%E5%AE%89%E5%85%A8%E7%8E%AF%E5%A2%83%E7%AE%A1%E7%90%86%E4%BD%93%E7%B3%BB%E4%B8%93%E5%91%98-at-twyford-international-c%C3%B4te-d-ivoire-4434039064?position=2&pageNum=2&refId=OxNX9GhFSadN1x3I%2FEbrMw%3D%3D&trackingId=2KSSTtpkQNsNovn3g6N1kA%3D%3D,Entry level,Construction and Manufacturing,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,UN (1) RESPONSABLE POINT DE VENTE - H/F,AGILOYA AFRIQUE,Commercial & Vente,Commerce & Vente,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-02,,,LinkedIn,https://ci.linkedin.com/jobs/view/un-1-responsable-point-de-vente-h-f-at-agiloya-afrique-4435021520?position=47&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=yInHD7sP8Zaigw%2F4R4Hs3w%3D%3D,Not Applicable,Human Resources Services,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,UN (1) BUSINESS DEVELOPER - H/F,AGILOYA AFRIQUE,Développement & Logiciel,Tech & Digital,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/un-1-business-developer-h-f-at-agiloya-afrique-4428707521?position=53&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=pEhdJdD7pJQt7vMri0Mw2Q%3D%3D,Not Applicable,Human Resources Services,2026-06-19,2026-07-06,archive,retirée de la source
★★★☆☆,3,Transcriptionist | $95/hr Remote,Crossing Hurdles,Ressources Humaines,Autres / Généraliste,Confirmé,Côte d'Ivoire,Contract,2026-07-03,,$15.00/hr - $95.00/hr,LinkedIn,https://ci.linkedin.com/jobs/view/transcriptionist-%2495-hr-remote-at-crossing-hurdles-4435439660?position=49&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=wVmT4A%2FVuzS%2F1A2pDwwsqg%3D%3D,Associate,Translation and Localization,2026-07-06,2026-07-06,archive,retirée de la source
★★★☆☆,3,Technico Commercial Vehicule,,Commercial & Vente,Commerce & Vente,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/commerce-vente-distribution/3890-technico-commercial-vehicule.html,,Commerce/vente/Distribution,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,Technicien Télécom (H/F),ACS TELECOM,Ingénierie & Technique,Tech & Digital,Confirmé,Côte d'ivoire,,22 Avril,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136678-technicien-telecom-h-f,Confirmé / Expérimenté ( 1 à 2 ans ),,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,"Technicien Montage, Essais & SAV",耐克森中国,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Yopougon, Abidjan, Côte d'Ivoire",Full-time,2026-07-05,,,LinkedIn,https://ci.linkedin.com/jobs/view/technicien-montage-essais-sav-at-%E8%80%90%E5%85%8B%E6%A3%AE%E4%B8%AD%E5%9B%BD-4437128337?position=55&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=sqq3grMS2WFB07CtZQNZQQ%3D%3D,Not Applicable,"Appliances, Electrical, and Electronics Manufacturing",2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,Technical Services Manager - Animal Nutrition - Ivory Coast,ADM,Autres métiers,Autres / Généraliste,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-01,,,LinkedIn,https://ci.linkedin.com/jobs/view/technical-services-manager-animal-nutrition-ivory-coast-at-adm-4432388527?position=5&pageNum=7&refId=wSe8P2Xh6xznQH53pgYmww%3D%3D&trackingId=1uGGP6hubLoS4mune5xQrw%3D%3D,Mid-Senior level,Food and Beverage Manufacturing,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,TECHNICIEN DE FABRICATION (H/F),Solibra CI,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-26,,,LinkedIn,https://ci.linkedin.com/jobs/view/technicien-de-fabrication-h-f-at-solibra-ci-4433280963?position=22&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=CLP%2BHt%2FjKKk9d%2FJYosoPjg%3D%3D,Not Applicable,Beverage Manufacturing,2026-06-29,2026-07-06,archive,retirée de la source
★★★★☆,4,Story teller,Odixcity Consulting,Communication & Contenu,Ressources Humaines,Confirmé,Côte d'Ivoire,Full-time,2026-06-12,,"$6,000.00/yr - $8,400.00/yr",LinkedIn,https://ci.linkedin.com/jobs/view/story-teller-at-odixcity-consulting-4427906138?position=36&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=lumGsPEBqZFHXqVHQx2XPw%3D%3D,Not Applicable,Human Resources Services,2026-06-19,2026-07-06,archive,retirée de la source
★★★☆☆,3,Stagiaire Assistant Marketing,Danone,Marketing & Growth,Marketing & Communication,Stage,"Abidjan, Côte d'Ivoire",Full-time,2026-06-29,,,LinkedIn,https://ci.linkedin.com/jobs/view/stagiaire-assistant-marketing-at-danone-4434717835?position=18&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=4SuBgwnmQHj%2BKIh0qt5eLQ%3D%3D,Not Applicable,"Manufacturing, Food and Beverage Services, and Food and Beverage Manufacturing",2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,"Spécialiste de la gestion du savoir, des données et des systèmes d'information _ Bd4_Projet WEECAP (H/F)",Giz Côte d'Ivoire,Autres métiers,Tech & Digital,Confirmé,"Abidjan, Côte d'ivoire",,23 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136741-specialiste-de-la-gestion-du-savoir-des-donnees-et-des-systemes-d-information-bd4-projet-weecap-h-f,Confirmé / Expérimenté ( 6 à 10 ans ),,2026-06-29,2026-07-06,archive,retirée de la source
★★★★☆,4,Senior Project Planner Manager,Alstom,Autres métiers,Logistique & Achats,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-06-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/senior-project-planner-manager-at-alstom-4418794640?position=2&pageNum=7&refId=wSe8P2Xh6xznQH53pgYmww%3D%3D&trackingId=g89PnYsjkBI1GSlitg2brQ%3D%3D,Not Applicable,Truck Transportation and Railroad Equipment Manufacturing,2026-06-22,2026-07-06,archive,retirée de la source
★★★★☆,4,Script writer,Odixcity Consulting,Communication & Contenu,Ressources Humaines,Confirmé,Côte d'Ivoire,Full-time,2026-06-16,,"$6,000.00/yr - $8,400.00/yr",LinkedIn,https://ci.linkedin.com/jobs/view/script-writer-at-odixcity-consulting-4429218298?position=11&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=eFuZaT0rvDXofXDx04JH1g%3D%3D,Not Applicable,Human Resources Services,2026-06-19,2026-07-06,archive,retirée de la source
★★★☆☆,3,Sales Officer Mid-size industry and retail,Puratos Schobbers,Commercial & Vente,Commerce & Vente,Confirmé,Côte d'Ivoire,Full-time,2026-07-06,,,LinkedIn,https://ci.linkedin.com/jobs/view/sales-officer-mid-size-industry-and-retail-at-puratos-schobbers-4437138125?position=25&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=Xr4pRwledEXdkDvvdS6B0A%3D%3D,Not Applicable,Food and Beverage Manufacturing,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,Sales Executive,Romeu,Commercial & Vente,Commerce & Vente,Manager/Direction,"Abidjan, Côte d'Ivoire",Full-time,2026-06-11,,,LinkedIn,https://ci.linkedin.com/jobs/view/sales-executive-at-romeu-4423621416?position=48&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=9fRWXPvFwNDuOhVO1PIgjg%3D%3D,Mid-Senior level,"Transportation, Logistics, Supply Chain and Storage and Maritime Transportation",2026-06-29,2026-07-06,archive,retirée de la source
★★★☆☆,3,SHE Coordinator,Louis Dreyfus Company,Autres métiers,Autres / Généraliste,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-06-11,,,LinkedIn,https://ci.linkedin.com/jobs/view/she-coordinator-at-louis-dreyfus-company-4423200644?position=3&pageNum=2&refId=OxNX9GhFSadN1x3I%2FEbrMw%3D%3D&trackingId=I%2F619dM4w4G%2BExha7k2UrQ%3D%3D,Not Applicable,Food and Beverage Manufacturing and International Trade and Development,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,Responsable Sécurité Opérationnelle F/H,Keolis Group,Opérations & Supervision,Logistique & Achats,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-06-11,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-s%C3%A9curit%C3%A9-op%C3%A9rationnelle-f-h-at-keolis-group-4426627202?position=9&pageNum=7&refId=wSe8P2Xh6xznQH53pgYmww%3D%3D&trackingId=bwKnCiDM68MHSZ0vrq1q3A%3D%3D,Not Applicable,Truck Transportation,2026-06-19,2026-07-06,archive,retirée de la source
★★★★★,5,Responsable Qualité de la Donnée/ Solution Agent – Flotte Automobile VTC (H/F),Heetch,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/responsable-qualit%C3%A9-de-la-donn%C3%A9e-solution-agent-%E2%80%93-flotte-automobile-vtc-h-f-at-heetch-4436743370?position=38&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=8Gxs1ARrDQ7hN6%2FYm%2BrUOA%3D%3D,Not Applicable,Information Technology & Services,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,Responsable Chaine Logistique,,Logistique & Supply Chain,Logistique & Achats,Senior,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4029-responsable-chaine-logistique.html,,Industrie/production/Mat 1eres,2026-06-19,2026-07-06,archive,retirée de la source
★★★★★,5,"Regional Regulatory Affairs & Compliance Specialist (West Africa), Fintech",Optasia,Juridique & Conformité,Juridique,Senior,Côte d'Ivoire,Contract,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/regional-regulatory-affairs-compliance-specialist-west-africa-fintech-at-optasia-4430917920?position=58&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=tuTy5Mj6zyt8vSUwXlKprg%3D%3D,Mid-Senior level,IT Services and IT Consulting,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,Regional Export Manager,Employ Global,Logistique & Supply Chain,Logistique & Achats,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-06-24,,,LinkedIn,https://ci.linkedin.com/jobs/view/regional-export-manager-at-employ-global-4431866949?position=50&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=9G%2F%2BN5wwyQINnsXenEnvgA%3D%3D,Mid-Senior level,"Wholesale Alcoholic Beverages, Wholesale Food and Beverage, and Food and Beverage Retail",2026-06-29,2026-07-06,archive,retirée de la source
★★☆☆☆,2,"Project Officer, GGSP-CALAO",DevelopmentAid,Autres métiers,Autres / Généraliste,Junior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-29,,,LinkedIn,https://ci.linkedin.com/jobs/view/project-officer-ggsp-calao-at-developmentaid-4434708262?position=59&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=MmkLQnmxrtvYMmI45SpXYQ%3D%3D,Entry level,International Trade and Development,2026-07-06,2026-07-06,archive,retirée de la source
★★★★★,5,Process Safety Specialist,Eni,"Qualité, Hygiène & Sécurité",Ingénierie & Industrie,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-02,,,LinkedIn,https://ci.linkedin.com/jobs/view/process-safety-specialist-at-eni-4425474961?position=54&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=WE%2BgNVdEDu3mvDFHzkfVFw%3D%3D,Mid-Senior level,Oil and Gas,2026-07-06,2026-07-06,archive,retirée de la source
★★★★★,5,Principal Prompt Engineer,Mass Markets,Ingénierie & Technique,Ingénierie & Industrie,Senior,"Za, Sassandra-Marahoué, Côte d'Ivoire",Full-time,2026-06-12,,,LinkedIn,https://ci.linkedin.com/jobs/view/principal-prompt-engineer-at-mass-markets-4425305628?position=1&pageNum=7&refId=wSe8P2Xh6xznQH53pgYmww%3D%3D&trackingId=UbUSvDdLHVWYYpPnAaacJQ%3D%3D,Not Applicable,IT Services and IT Consulting,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,Preventive Maintenance Team Leader,The HEINEKEN Company,Maintenance,Ingénierie & Industrie,Confirmé,"Anyama, Abidjan, Côte d'Ivoire",Full-time,2026-06-24,,,LinkedIn,https://ci.linkedin.com/jobs/view/preventive-maintenance-team-leader-at-the-heineken-company-4431846754?position=5&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=GEWlAYDjDzFllCsmClssug%3D%3D,Not Applicable,Food and Beverage Services,2026-06-29,2026-07-06,archive,retirée de la source
★★★☆☆,3,Pointeur Quai  H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Supply Chain,Logistique & Achats,Confirmé,"Abidjan, Côte d'ivoire",,22 Mai,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136698-pointeur-quai-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-06,archive,retirée de la source
★★★☆☆,3,Partenaires affiliés H/F,Melbet Côte d'ivoire,Commercial & Vente,Commerce & Vente,Confirmé,Côte d'ivoire,,07 Mai,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136688-partenaires-affilies-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-06,archive,retirée de la source
★★☆☆☆,2,POINTEUR QUAI (5) H/F - BOUAKE,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Supply Chain,Logistique & Achats,Junior,"Bouake, Côte d'ivoire",,26 Mai,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bouake/136703-pointeur-quai-5-h-f-bouake,Débutant / Junior ( 1 à 2 ans ),,2026-06-19,2026-07-06,archive,retirée de la source
★★☆☆☆,2,"Opticien(ne) - Odienné,Cote d'Ivoire",Lapaire,Santé & Médical,Autres / Généraliste,Junior,"Odienné, Denguélé District, Côte d'Ivoire",Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/opticien-ne-odienn%C3%A9-cote-d-ivoire-at-lapaire-4431795746?position=5&pageNum=5&refId=vSMCJyZ4Dm0kWGu1mUDcYQ%3D%3D&trackingId=zSzkdtmTCB7QwgyfuAibqA%3D%3D,Entry level,Internet Publishing,2026-07-06,2026-07-06,archive,retirée de la source
★★☆☆☆,2,"Opticien(ne) - Ferkessédougou, Cote d'Ivoire",Lapaire,Santé & Médical,Autres / Généraliste,Junior,Côte d'Ivoire,Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/opticien-ne-ferkess%C3%A9dougou-cote-d-ivoire-at-lapaire-4432003258?position=4&pageNum=7&refId=wSe8P2Xh6xznQH53pgYmww%3D%3D&trackingId=WtgRgceTQYKhybYyxm2y3g%3D%3D,Entry level,Internet Publishing,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,"Opticien(ne) - Dimbokro, Cote d'Ivoire",Lapaire,Santé & Médical,Autres / Généraliste,Senior,"Dimbokro, Lacs, Côte d'Ivoire",Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/opticien-ne-dimbokro-cote-d-ivoire-at-lapaire-4432002346?position=9&pageNum=5&refId=vSMCJyZ4Dm0kWGu1mUDcYQ%3D%3D&trackingId=AOZrwx3BC9lfKAii7E%2FlXw%3D%3D,Mid-Senior level,Internet Publishing,2026-06-29,2026-07-06,archive,retirée de la source
★★☆☆☆,2,"Opticien(ne) - Aboisso, Cote d'Ivoire",Lapaire,Santé & Médical,Autres / Généraliste,Junior,"Aboisso, Comoé, Côte d'Ivoire",Full-time,2026-06-22,,,LinkedIn,https://ci.linkedin.com/jobs/view/opticien-ne-aboisso-cote-d-ivoire-at-lapaire-4431797701?position=7&pageNum=2&refId=OxNX9GhFSadN1x3I%2FEbrMw%3D%3D&trackingId=RtvvJBL3PKgPqpk1rBmxvQ%3D%3D,Entry level,Internet Publishing,2026-07-06,2026-07-06,archive,retirée de la source
★★★★☆,4,"Operations Associate (G-6), FT, #071090, Man - Cote d'Ivoire, WCAR",UNICEF,Opérations & Supervision,Autres / Généraliste,Senior,"Yamoussoukro, Yamoussoukro, Côte d'Ivoire",Full-time,2026-07-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/operations-associate-g-6-ft-%23071090-man-cote-d-ivoire-wcar-at-unicef-4436715285?position=1&pageNum=5&refId=vSMCJyZ4Dm0kWGu1mUDcYQ%3D%3D&trackingId=bhdQEGni1jbGH3u5gv6rfA%3D%3D,Mid-Senior level,Business Consulting and Services and Non-profit Organizations,2026-07-06,2026-07-06,archive,retirée de la source
★★★☆☆,3,OPERATIONS SUPPORT OFFICER,ReliefWeb,Relation Client & Support,Autres / Généraliste,Confirmé,Côte d'Ivoire,Contract,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/operations-support-officer-at-reliefweb-4430997067?position=35&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=JF2FcsgCP42MZMIZo7aC0w%3D%3D,Not Applicable,International Affairs,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,Multimedia Content and Video Editor,Odixcity Consulting,Communication & Contenu,Marketing & Communication,Confirmé,Côte d'Ivoire,Full-time,2026-06-12,,"$6,000.00/yr - $8,400.00/yr",LinkedIn,https://ci.linkedin.com/jobs/view/multimedia-content-and-video-editor-at-odixcity-consulting-4427915037?position=51&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=tX6q9vrWrlMdDt5Vq0Nm%2FQ%3D%3D,Not Applicable,Human Resources Services,2026-06-19,2026-07-06,archive,retirée de la source
★★★★☆,4,Motion graphics designer,Odixcity Consulting,Product & Design,Tech & Digital,Confirmé,Côte d'Ivoire,Full-time,2026-06-11,,"$6,000.00/yr - $8,400.00/yr",LinkedIn,https://ci.linkedin.com/jobs/view/motion-graphics-designer-at-odixcity-consulting-4427646508?position=40&pageNum=0&refId=4Jpc0wwY7rwx6x0qEeMHqA%3D%3D&trackingId=wU9kXU7qc2uRwW4aFuA9xQ%3D%3D,Not Applicable,Human Resources Services,2026-06-19,2026-07-06,archive,retirée de la source
